agc.id,available,date.weight1,weight1,date.weight2,weight2
CN0100005020,1,2025-06-05,1333.6,2025-08-01,1334
CN0100005258,1,2025-06-05,1531,2025-08-01,1529
CN0100005259,1,2025-06-05,1536.3,2025-08-01,1522
CN0100005260,1,2025-06-05,1515,2025-08-01,1511
CN0100005261,1,2025-06-05,1440.4,2025-08-01,1438
CN0100005280,1,2025-06-05,1483.1,2025-08-01,1479
CN0100005281,1,2025-06-05,1512.9,2025-08-01,1508
CN0100010502,1,2025-06-05,1317.8,2025-08-01,1317
CN0100010503,1,2025-06-05,1358.1,2025-08-01,1357
CN0100011408,1,2025-06-05,NA,2025-08-01,1480
CN0100011411,1,2025-06-05,NA,2025-08-01,1451
CN0100011429,1,2025-06-05,NA,,
CN0100011500,1,2025-06-05,1440.3,2025-08-01,1437
CN0100013261,1,2025-06-05,1475.3,2025-08-01,1472
