or.id,bottle.number,start,end
6,1,2024-06-03 03:00:00,2024-06-14 08:00:00
6,2,2024-06-14 08:00:00,2024-06-24 14:00:00
6,3,2024-06-24 14:00:00,2024-07-04 08:00:00
6,4,2024-07-04 08:00:00,2024-07-11 20:00:00
6,5,2024-07-11 20:00:00,2024-07-19 13:00:00
6,6,2024-07-19 13:00:00,2024-07-26 15:30:00
6,7,2024-07-29 07:00:00,2024-08-09 07:00:00
6,8,2024-08-09 07:00:00,2024-08-23 14:00:00
6,9,2024-08-23 14:00:00,2024-08-27 21:00:00
6,10,2024-08-27 21:00:00,2024-09-07 19:40:00
