or.id,bottle.number,start,end
1,1,2024-06-03 03:00:00,2024-06-12 00:58:00
1,2,2024-06-12 00:58:00,2024-06-18 07:55:00
1,3,2024-06-18 07:55:00,2024-06-24 13:00:00
1,4,2024-06-24 13:00:00,2024-07-03 13:00:00
1,5,2024-07-03 13:00:00,2024-07-10 07:00:00
1,6,2024-07-10 07:00:00,2024-07-19 07:00:00
1,7,2024-07-19 07:00:00,2024-07-26 15:00:00
1,8,2024-07-26 15:00:00,2024-08-02 16:00:00
1,9,2024-08-02 16:00:00,2024-12-31 00:00:00
