or.id,agc.id,agc.number,start,end
6,CH0100022340,1,2024-06-03 03:00:00,2024-08-15 18:00:00
6,CH0100037345,2,2024-08-15 18:00:00,2024-08-20 10:45:00
6,CN0100011500,3,2024-08-20 10:45:00,2024-09-07 19:40:00
