or.id,agc.id,agc.number,start,end
2,CH0100022440,1,2024-06-03 03:00:00,2024-06-10 10:50:00
2,CH0100037289,2,2024-06-10 10:50:00,2024-07-25 13:15:00
2,CH0100022440,1,2024-07-25 13:15:00,2024-07-29 15:20:00
2,CH0100037286,3,2024-07-30 07:00:00,2024-12-31 00:00:00
