agc.id,initial.weight
CN0100011753,1058.12
CN0100011763,1057.05
CN0100011764,1055.7
CN0100011752,1054.84
CN0100011765,1054.27
CN0100011742,1055.13
CN0100002941,1058.29
CN0100002965,1052.56
CN0100002962,1061.02
CN0100002938,1054.94
CN0100002959,1051.21
CN0100002955,1056.58
CN0100011497,1056.54
CN0100011490,1054.54
CN0100011495,1055.15
CN0100011493,1056.06
CN0100003518,1061.13
CN0100003483,1052.96
CN0100003481,1051.69
CN0100003480,1054.12
CN0100003489,1057.53
CN0100003490,1053.27
